batch_size,scape_aggregate_proof_ms,xauth_6_proof_ms,ssl_xiomt_proof_ms,scheme_30_proof_ms
1,752.750321144976,89700.0,6.94,20.690194
2,752.7746422899521,179400.0,13.88,41.380388
3,752.798963434928,269100.0,20.82,62.070582
4,752.8232845799041,358800.0,27.76,82.760776
5,752.8476057248802,448500.0,34.7,103.45097000000001
6,752.8719268698562,538200.0,41.64,124.141164
7,752.8962480148323,627900.0,48.580000000000005,144.83135800000002
8,752.9205691598082,717600.0,55.52,165.521552
9,752.9448903047843,807300.0,62.46,186.211746
10,752.9692114497603,897000.0,69.4,206.90194000000002
11,752.9935325947364,986700.0,76.34,227.59213400000002
12,753.0178537397125,1076400.0,83.28,248.282328
13,753.0421748846884,1166100.0,90.22,268.972522
14,753.0664960296644,1255800.0,97.16000000000001,289.66271600000005
15,753.0908171746405,1345500.0,104.10000000000001,310.35291
16,753.1151383196166,1435200.0,111.04,331.043104
17,753.1394594645926,1524900.0,117.98,351.73329800000005
18,753.1637806095686,1614600.0,124.92,372.423492
19,753.1881017545446,1704300.0,131.86,393.11368600000003
20,753.2124228995207,1794000.0,138.8,413.80388000000005
21,753.2367440444967,1883700.0,145.74,434.494074
22,753.2610651894728,1973400.0,152.68,455.18426800000003
23,753.2853863344487,2063100.0,159.62,475.87446200000005
24,753.3097074794248,2152800.0,166.56,496.564656
25,753.3340286244008,2242500.0,173.5,517.25485
26,753.3583497693769,2332200.0,180.44,537.945044
27,753.3826709143528,2421900.0,187.38000000000002,558.6352380000001
28,753.4069920593289,2511600.0,194.32000000000002,579.3254320000001
29,753.431313204305,2601300.0,201.26000000000002,600.015626
30,753.455634349281,2691000.0,208.20000000000002,620.70582
31,753.4799554942571,2780700.0,215.14000000000001,641.396014
32,753.504276639233,2870400.0,222.08,662.086208
33,753.5285977842091,2960100.0,229.02,682.7764020000001
34,753.5529189291851,3049800.0,235.96,703.4665960000001
35,753.5772400741612,3139500.0,242.9,724.1567900000001
36,753.6015612191372,3229200.0,249.84,744.846984
37,753.6258823641132,3318900.0,256.78000000000003,765.537178
38,753.6502035090892,3408600.0,263.72,786.2273720000001
39,753.6745246540653,3498300.0,270.66,806.9175660000001
40,753.6988457990414,3588000.0,277.6,827.6077600000001
41,753.7231669440174,3677700.0,284.54,848.2979540000001
42,753.7474880889934,3767400.0,291.48,868.988148
43,753.7718092339694,3857100.0,298.42,889.678342
44,753.7961303789455,3946800.0,305.36,910.3685360000001
45,753.8204515239215,4036500.0,312.3,931.0587300000001
46,753.8447726688976,4126200.0,319.24,951.7489240000001
47,753.8690938138735,4215900.0,326.18,972.4391180000001
48,753.8934149588496,4305600.0,333.12,993.129312
49,753.9177361038256,4395300.0,340.06,1013.819506
50,753.9420572488017,4485000.0,347.0,1034.5097
51,753.9663783937777,4574700.0,353.94,1055.199894
52,753.9906995387537,4664400.0,360.88,1075.890088
53,754.0150206837297,4754100.0,367.82,1096.5802820000001
54,754.0393418287058,4843800.0,374.76000000000005,1117.2704760000001
55,754.0636629736819,4933500.0,381.70000000000005,1137.9606700000002
56,754.0879841186579,5023200.0,388.64000000000004,1158.6508640000002
57,754.1123052636339,5112900.0,395.58000000000004,1179.3410580000002
58,754.1366264086099,5202600.0,402.52000000000004,1200.031252
59,754.160947553586,5292300.0,409.46000000000004,1220.721446
60,754.185268698562,5382000.0,416.40000000000003,1241.41164
61,754.2095898435381,5471700.0,423.34000000000003,1262.101834
62,754.233910988514,5561400.0,430.28000000000003,1282.792028
63,754.2582321334901,5651100.0,437.22,1303.482222
64,754.2825532784661,5740800.0,444.16,1324.172416
65,754.3068744234422,5830500.0,451.1,1344.8626100000001
66,754.3311955684183,5920200.0,458.04,1365.5528040000002
67,754.3555167133942,6009900.0,464.98,1386.2429980000002
68,754.3798378583703,6099600.0,471.92,1406.9331920000002
69,754.4041590033463,6189300.0,478.86,1427.6233860000002
70,754.4284801483224,6279000.0,485.8,1448.3135800000002
71,754.4528012932983,6368700.0,492.74,1469.003774
72,754.4771224382744,6458400.0,499.68,1489.693968
73,754.5014435832504,6548100.0,506.62,1510.384162
74,754.5257647282265,6637800.0,513.5600000000001,1531.074356
75,754.5500858732025,6727500.0,520.5,1551.76455
76,754.5744070181785,6817200.0,527.44,1572.4547440000001
77,754.5987281631545,6906900.0,534.38,1593.1449380000001
78,754.6230493081306,6996600.0,541.32,1613.8351320000002
79,754.6473704531066,7086300.0,548.26,1634.5253260000002
80,754.6716915980827,7176000.0,555.2,1655.2155200000002
81,754.6960127430586,7265700.0,562.14,1675.9057140000002
82,754.7203338880347,7355400.0,569.08,1696.5959080000002
83,754.7446550330108,7445100.0,576.02,1717.2861020000003
84,754.7689761779868,7534800.0,582.96,1737.976296
85,754.7932973229629,7624500.0,589.9,1758.66649
86,754.8176184679388,7714200.0,596.84,1779.356684
87,754.8419396129149,7803900.0,603.7800000000001,1800.046878
88,754.8662607578909,7893600.0,610.72,1820.7370720000001
89,754.890581902867,7983300.0,617.6600000000001,1841.4272660000001
90,754.914903047843,8073000.0,624.6,1862.1174600000002
91,754.939224192819,8162700.0,631.5400000000001,1882.8076540000002
92,754.963545337795,8252400.0,638.48,1903.4978480000002
93,754.9878664827711,8342100.0,645.4200000000001,1924.1880420000002
94,755.0121876277472,8431800.0,652.36,1944.8782360000002
95,755.0365087727232,8521500.0,659.3000000000001,1965.5684300000003
96,755.0608299176992,8611200.0,666.24,1986.258624
97,755.0851510626752,8700900.0,673.1800000000001,2006.948818
98,755.1094722076513,8790600.0,680.12,2027.639012
99,755.1337933526273,8880300.0,687.0600000000001,2048.3292060000003
100,755.1581144976034,8970000.0,694.0,2069.0194
101,755.1824356425793,9059700.0,700.94,2089.7095940000004
102,755.2067567875554,9149400.0,707.88,2110.399788
103,755.2310779325314,9239100.0,714.82,2131.089982
104,755.2553990775075,9328800.0,721.76,2151.780176
105,755.2797202224835,9418500.0,728.7,2172.47037
106,755.3040413674595,9508200.0,735.64,2193.1605640000002
107,755.3283625124355,9597900.0,742.58,2213.850758
108,755.3526836574116,9687600.0,749.5200000000001,2234.5409520000003
109,755.3770048023877,9777300.0,756.46,2255.231146
110,755.4013259473637,9867000.0,763.4000000000001,2275.9213400000003
111,755.4256470923397,9956700.0,770.34,2296.611534
112,755.4499682373157,10046400.0,777.2800000000001,2317.3017280000004
113,755.4742893822918,10136100.0,784.22,2337.991922
114,755.4986105272678,10225800.0,791.1600000000001,2358.6821160000004
115,755.5229316722438,10315500.0,798.1,2379.37231
116,755.5472528172198,10405200.0,805.0400000000001,2400.062504
117,755.5715739621959,10494900.0,811.98,2420.7526980000002
118,755.5958951071719,10584600.0,818.9200000000001,2441.442892
119,755.620216252148,10674300.0,825.86,2462.1330860000003
120,755.6445373971239,10764000.0,832.8000000000001,2482.82328
121,755.6688585421,10853700.0,839.74,2503.5134740000003
122,755.693179687076,10943400.0,846.6800000000001,2524.203668
123,755.7175008320521,11033100.0,853.62,2544.8938620000004
124,755.7418219770282,11122800.0,860.5600000000001,2565.584056
125,755.7661431220041,11212500.0,867.5,2586.2742500000004
126,755.7904642669802,11302200.0,874.44,2606.964444
127,755.8147854119562,11391900.0,881.38,2627.6546380000004
128,755.8391065569323,11481600.0,888.32,2648.344832
129,755.8634277019083,11571300.0,895.2600000000001,2669.035026
130,755.8877488468843,11661000.0,902.2,2689.7252200000003
131,755.9120699918603,11750700.0,909.1400000000001,2710.415414
132,755.9363911368364,11840400.0,916.08,2731.1056080000003
133,755.9607122818124,11930100.0,923.0200000000001,2751.795802
134,755.9850334267885,12019800.0,929.96,2772.4859960000003
135,756.0093545717644,12109500.0,936.9000000000001,2793.17619
136,756.0336757167405,12199200.0,943.84,2813.8663840000004
137,756.0579968617166,12288900.0,950.7800000000001,2834.556578
138,756.0823180066926,12378600.0,957.72,2855.2467720000004
139,756.1066391516687,12468300.0,964.6600000000001,2875.936966
140,756.1309602966446,12558000.0,971.6,2896.6271600000005
141,756.1552814416207,12647700.0,978.5400000000001,2917.3173540000003
142,756.1796025865967,12737400.0,985.48,2938.007548
143,756.2039237315728,12827100.0,992.4200000000001,2958.6977420000003
144,756.2282448765488,12916800.0,999.36,2979.387936
145,756.2525660215248,13006500.0,1006.3000000000001,3000.0781300000003
146,756.2768871665008,13096200.0,1013.24,3020.768324
147,756.3012083114769,13185900.0,1020.1800000000001,3041.4585180000004
148,756.325529456453,13275600.0,1027.1200000000001,3062.148712
149,756.349850601429,13365300.0,1034.06,3082.8389060000004
150,756.374171746405,13455000.0,1041.0,3103.5291
151,756.398492891381,13544700.0,1047.94,3124.2192940000004
152,756.4228140363571,13634400.0,1054.88,3144.9094880000002
153,756.4471351813331,13724100.0,1061.8200000000002,3165.5996820000005
154,756.4714563263092,13813800.0,1068.76,3186.2898760000003
155,756.4957774712851,13903500.0,1075.7,3206.98007
156,756.5200986162612,13993200.0,1082.64,3227.6702640000003
157,756.5444197612372,14082900.0,1089.5800000000002,3248.360458
158,756.5687409062133,14172600.0,1096.52,3269.0506520000004
159,756.5930620511892,14262300.0,1103.46,3289.740846
160,756.6173831961653,14352000.0,1110.4,3310.4310400000004
161,756.6417043411413,14441700.0,1117.3400000000001,3331.121234
162,756.6660254861174,14531400.0,1124.28,3351.8114280000004
163,756.6903466310935,14621100.0,1131.22,3372.501622
164,756.7146677760694,14710800.0,1138.16,3393.1918160000005
165,756.7389889210455,14800500.0,1145.1000000000001,3413.8820100000003
166,756.7633100660215,14890200.0,1152.04,3434.5722040000005
167,756.7876312109976,14979900.0,1158.98,3455.2623980000003
168,756.8119523559736,15069600.0,1165.92,3475.952592
169,756.8362735009496,15159300.0,1172.8600000000001,3496.6427860000003
170,756.8605946459256,15249000.0,1179.8,3517.33298
171,756.8849157909017,15338700.0,1186.74,3538.0231740000004
172,756.9092369358777,15428400.0,1193.68,3558.713368
173,756.9335580808538,15518100.0,1200.6200000000001,3579.4035620000004
174,756.9578792258297,15607800.0,1207.5600000000002,3600.093756
175,756.9822003708058,15697500.0,1214.5,3620.7839500000005
176,757.0065215157819,15787200.0,1221.44,3641.4741440000003
177,757.0308426607579,15876900.0,1228.38,3662.1643380000005
178,757.055163805734,15966600.0,1235.3200000000002,3682.8545320000003
179,757.0794849507099,16056300.0,1242.26,3703.5447260000005
180,757.103806095686,16146000.0,1249.2,3724.2349200000003
181,757.128127240662,16235700.0,1256.14,3744.925114
182,757.1524483856381,16325400.0,1263.0800000000002,3765.6153080000004
183,757.1767695306141,16415100.0,1270.02,3786.305502
184,757.2010906755901,16504800.0,1276.96,3806.9956960000004
185,757.2254118205661,16594500.0,1283.9,3827.68589
186,757.2497329655422,16684200.0,1290.8400000000001,3848.3760840000004
187,757.2740541105183,16773900.0,1297.78,3869.0662780000002
188,757.2983752554943,16863600.0,1304.72,3889.7564720000005
189,757.3226964004702,16953300.0,1311.66,3910.4466660000003
190,757.3470175454463,17043000.0,1318.6000000000001,3931.1368600000005
191,757.3713386904224,17132700.0,1325.54,3951.8270540000003
192,757.3956598353984,17222400.0,1332.48,3972.517248
193,757.4199809803745,17312100.0,1339.42,3993.2074420000004
194,757.4443021253504,17401800.0,1346.3600000000001,4013.897636
195,757.4686232703265,17491500.0,1353.3000000000002,4034.5878300000004
196,757.4929444153025,17581200.0,1360.24,4055.278024
197,757.5172655602786,17670900.0,1367.18,4075.9682180000004
198,757.5415867052546,17760600.0,1374.1200000000001,4096.658412000001
199,757.5659078502306,17850300.0,1381.0600000000002,4117.3486060000005
200,757.5902289952066,17940000.0,1388.0,4138.0388
